ClienteID,NumeroContratto,DataInizio,DataFine,Durata,DescrizioneProdotto,NOL_FIN,NOL_INT,TotRata,Stato
1,,01/07/2024,,,N.129 LICENZE YEASTAR P-CLOUD + CENTRALE YEASTAR CLOUD  ,,868.5,,nan
1,,,,,è un nostro competitor che ci passa lavori su telefonia e cablaggio,,,,nan
2,14208183,31/12/2024,01/01/2030,60 M,EPSON AM-C4000 + N.2 NOTEBOOK HP 250 G10 + N.3 SAMSUNG GALAXY S24 ULTRA 256GB + IPHONE 16 PRO 256GB,,,60.0,nan
3,,21/02/2024,01/03/2029,60 M,STAMPANTE ZEBRA +ACCESSORI,,,60.0,nan
3,,07/10/2024,01/10/2029,60 M,"N.2 DELL PC + N.2 MONITOR 21,5"" + N.2 OFFICE",,,60.0,nan
4,,01/11/2023,31/10/2028,60 M,EPSON C579 + STAND,,45.9,60.0,nan
4,,01/01/2024,,,CREAZIONE DOMINIO + MAIL ( VENDITE@ADAUTOMOBILI.COM),,,,nan
5,,01/08/2019,,12 MESI RINNOVO AUTOMATICO,GESTIONE DOMINIO + N.9 CASELLE E-MAIL,,,12.0,nan
5,A1C07477,23/06/2020,01/07/2025,60 M,HP ZBOOK 17 G6 MOBILE WORKSTATION - 26/03/2025 ok fabio rimane al cliente,,,60.0,nan
5,,26/07/2021,01/10/2026,60 M,CENTRALINO YESTAR S20 + N.2 SCHEDE FXS + N.2 SCHEDE FXO + N.2 TELEFONI T46U + N.8 TELEFONI T40P + ALIMENTATORI + BOX GSM (LINEE SMARTEL),,,60.0,nan
5,,01/06/2022,,12 M RINNOVO ANNUALE,UPGRADE 50GB CASELLA MAIL commerciale@adproduzione.it ,,,12.0,nan
5,,27/10/2023,01/01/2029,60 M,HP SERVER PROLIANT ML350 G10  (N.3 HD 1.9TB SAS +N.3 RAM 16GB + DOPPIO ALIMENTATORE + ESTENSIONE HP 5 ANNI ON SITE) + BACK UP 2TB+NAS ---- PROVENIENTE VECCHIO CONTRATTO NON IN DDT : PHASER 6600 USATA + EPSON C579 USATA + ENTERPRICE C20750  ,,,60.0,nan
5,A1F37596,24/07/2024,01/10/2029,60 M,N.5 HP PC 400 G9 (I5 -512 - 8 -WIFI) +N.4 WORKSTATION Z1 G9 (I9 - 1TB - 32GB - SCHEDA GRAFICA 12GB) + ESTENSIONE GARANZIA,,,60.0,nan
5,A1F89316,23/04/2025,01/07/2030,60 M,HP ZBOOK POWER 16 G11,,,60.0,nan
5,,01/06/2025,,RINNOVO AUTOMATICO,CREAZIONE E GESTIONE CASELLA PEC deluca_alfredo@pec.it,,,,nan
5,,,,,CISCO MERAKI + LICENZA,,,,nan
5,,,,,N.20 LICENZA ANTIVIRUS PANDA,,,,nan
5,,,,,N.6 SSD 512GB,,,,nan
6,,15/05/2023,01/06/2028,60 M,CENTRALINO S20 (RIGENERATO) + 10 TEL T53 + 1 TEL T54 + 3 CORDLESS + MODULO ESPANSIONE + SWITCH 24 PORTE POE ,,,60.0,nan
7,14221554,18/02/2025,01/03/2030,60 M,EPSON C878 + HP PROBBOK 450 G10 + HP ZETABOOK POWER 16 G11 + N.2 OFFICE H&B 24 + N.2 ANTIVIRUS + REALIZZAZIONE GRAFICA VOSTRO SITO,,,60.0,nan
8,,01/01/2020,,,CONTRATTO ASSISTENZA TECNICA SI FATTURA ORA INTERVENTO € 45.00 ORA,,,,nan
9,,11/01/2021,01/04/2026,60 M,CENTRALINO + N.6 TELEFONI,,,60.0,nan
10,,01/07/2024,30/06/2029,60 M,EPSON C579 + EPSON M5799 USATE,,80.0,60.0,nan
11,,18/11/2022,01/01/2026,36 M,EPSON C579,,,36.0,nan
12,14200583,01/12/2024,01/12/2029,60 M,EPSON ENTERPRICE AM-C4000 4 CASSETTI,,,60.0,nan
12,A1E55035,21/07/2023,01/10/2028,60 M,CENTRALINO YEASTAR S20 + 10 TEL. 1 TEL.POST OPERATORE ,,,60.0,nan
